date,buy,sell,mean
2020-03-31,,,0.4319
2020-04-01,,,0.4262
2020-04-02,,,0.4269
2020-04-03,,,0.4269
2020-04-06,,,0.4248
2020-04-07,,,0.4309
2020-04-08,,,0.4343
2020-04-14,,,0.4435
2020-04-15,,,0.4447
2020-04-16,,,0.4461
2020-04-17,,,0.4438
2020-04-20,,,0.4429
2020-04-21,,,0.443
2020-04-22,,,0.4453
2020-04-24,,,0.4456
2020-04-27,,,0.4477
2020-04-28,,,0.4482
2020-04-29,,,0.4482
2020-04-30,,,0.4515
2020-05-04,,,0.4521
2020-05-05,,,0.4542
2020-05-06,,,0.456
2020-05-07,,,0.4542
2020-05-08,,,0.4533
2020-05-11,,,0.4528
2020-05-12,,,0.4528
2020-05-13,,,0.4479
2020-05-14,,,0.4463
2020-05-15,,,0.4472
2020-05-18,,,0.4447
2020-05-19,,,0.4472
2020-05-20,,,0.4469
