date,buy,sell,mean
2020-03-31,,,39.815
2020-04-01,,,40.131
2020-04-02,,,39.128
2020-04-03,,,39.493
2020-04-06,,,39.668
2020-04-07,,,39.742
2020-04-08,,,39.84
2020-04-14,,,39.786
2020-04-15,,,39.702
2020-04-16,,,39.987
2020-04-17,,,40.299
2020-04-20,,,40.276
2020-04-21,,,40.868
2020-04-22,,,41.017
2020-04-24,,,41.81
2020-04-27,,,41.619
2020-04-28,,,41.815
2020-04-29,,,41.843
2020-04-30,,,41.891
2020-05-04,,,41.367
2020-05-05,,,41.721
2020-05-06,,,41.992
2020-05-07,,,41.998
2020-05-08,,,41.669
2020-05-11,,,41.596
2020-05-12,,,41.759
2020-05-13,,,41.497
2020-05-14,,,41.45
2020-05-15,,,41.475
2020-05-18,,,41.03
2020-05-19,,,40.489
2020-05-20,,,40.793
2020-05-22,,,40.636
2020-05-25,,,40.52
2020-05-26,,,40.049
2020-05-27,,,39.21
2020-05-28,,,39.118
2020-05-29,,,38.592
2020-06-02,,,38.81
2020-06-03,,,38.824
2020-06-04,,,38.183
2020-06-05,,,38.029
2020-06-08,,,38.241
2020-06-09,,,38.431
2020-06-10,,,38.381
2020-06-11,,,38.619
2020-06-12,,,38.805
2020-06-15,,,38.654
2020-06-16,,,38.872
2020-06-18,,,39.386
2020-06-19,,,39.874
2020-06-22,,,39.997
2020-06-23,,,40.453
2020-06-24,,,40.579
2020-06-25,,,40.67
2020-06-26,,,40.237
2020-06-29,,,40.026
2020-06-30,,,40.004
2020-07-01,,,40.221
2020-07-02,,,40.149
2020-07-03,,,40.526
2020-07-06,,,40.448
2020-07-07,,,40.251
2020-07-08,,,40.321
2020-07-09,,,40.688
2020-07-10,,,40.765
2020-07-13,,,40.8
2020-07-14,,,40.81
2020-07-15,,,40.755
2020-07-16,,,40.969
2020-07-17,,,40.838
2020-07-20,,,40.704
2020-07-21,,,40.724
2020-07-22,,,39.822
2020-07-23,,,39.815
2020-07-24,,,39.843
2020-07-27,,,39.541
2020-07-28,,,39.603
2020-07-29,,,39.678
2020-07-30,,,39.74
2020-07-31,,,39.596
2020-08-04,,,39.679
2020-08-05,,,39.588
2020-08-06,,,39.677
2020-08-07,,,39.82
2020-08-10,,,40.039
2020-08-11,,,40.138
2020-08-12,,,40.182
2020-08-13,,,39.916
2020-08-14,,,40.08
2020-08-17,,,39.987
2020-08-18,,,39.825
2020-08-19,,,39.909
2020-08-20,,,40.303
2020-08-21,,,40.503
2020-08-24,,,40.439
2020-08-25,,,40.431
2020-08-26,,,40.598
2020-08-27,,,41.012
2020-08-28,,,40.79
2020-08-31,,,40.939
2020-09-01,,,40.945
2020-09-02,,,41.217
2020-09-03,,,41.363
2020-09-04,,,41.303
2020-09-07,,,41.299
2020-09-08,,,41.346
2020-09-09,,,41.414
2020-09-10,,,40.467
2020-09-11,,,39.457
2020-09-14,,,39.21
2020-09-15,,,39.484
2020-09-16,,,39.556
2020-09-17,,,40.166
2020-09-18,,,39.692
2020-09-21,,,39.828
2020-09-22,,,40.09
2020-09-23,,,39.963
2020-09-24,,,39.939
2020-09-25,,,39.922
2020-09-28,,,40.119
2020-09-29,,,40.063
2020-09-30,,,40.278
2020-10-01,,,40.314
2020-10-02,,,40.309
2020-10-05,,,40.359
2020-10-06,,,40.5
2020-10-07,,,40.665
2020-10-08,,,40.801
2020-10-09,,,40.842
2020-10-12,,,40.864
2020-10-13,,,40.914
2020-10-14,,,41.067
2020-10-15,,,41.083
2020-10-16,,,41.149
2020-10-19,,,41.018
2020-10-20,,,41.104
2020-10-21,,,40.989
2020-10-22,,,41.202
2020-10-23,,,41.187
2020-10-26,,,41.364
2020-10-27,,,41.301
2020-10-28,,,41.477
2020-10-29,,,41.302
2020-10-30,,,41.239
2020-11-02,,,41.21
2020-11-03,,,41.393
2020-11-04,,,40.997
2020-11-05,,,40.948
2020-11-06,,,40.807
2020-11-09,,,40.895
2020-11-10,,,40.697
2020-11-11,,,40.924
2020-11-12,,,40.676
2020-11-13,,,40.701
2020-11-16,,,40.6
2020-11-17,,,40.427
2020-11-18,,,40.64
2020-11-19,,,40.737
2020-11-20,,,40.717
2020-11-23,,,40.54
2020-11-24,,,40.621
2020-11-25,,,40.703
2020-11-26,,,40.802
2020-11-27,,,40.159
2020-11-30,,,40.094
2020-12-01,,,40.012
2020-12-02,,,39.136
2020-12-03,,,38.499
2020-12-04,,,38.301
2020-12-07,,,38.597
2020-12-08,,,38.794
