date,price
1987-05-20,4.51
1987-05-21,4.47
1987-05-22,4.49
1987-05-25,4.52
1987-05-26,4.53
1987-05-27,4.56
1987-05-28,4.56
1987-05-29,4.56
1987-06-01,4.59
1987-06-02,4.58
1987-06-03,4.58
1987-06-04,4.6
1987-06-05,4.56
1987-06-08,4.59
1987-06-09,4.58
1987-06-10,4.57
1987-06-11,4.55
1987-06-12,4.57
1987-06-16,4.63
1987-06-17,4.66
1987-06-18,4.67
1987-06-19,4.67
1987-06-22,4.7
1987-06-23,4.66
1987-06-24,4.6
1987-06-25,4.59
1987-06-26,4.69
1987-06-29,4.71
1987-06-30,4.69
1987-07-01,4.66
1987-07-02,4.73
1987-07-03,4.76
1987-07-06,4.8
1987-07-07,4.8
1987-07-08,4.8
1987-07-09,4.84
1987-07-10,4.87
1987-07-13,4.9
1987-07-14,4.9
1987-07-15,5.01
1987-07-16,5.02
1987-07-17,5.09
1987-07-20,5.09
1987-07-21,5.03
1987-07-22,5.03
1987-07-23,4.98
1987-07-24,4.84
1987-07-27,4.77
1987-07-28,4.9
1987-07-29,4.94
1987-07-30,5.0
1987-07-31,4.95
1987-08-03,5.18
1987-08-04,5.13
1987-08-05,4.92
1987-08-06,4.91
1987-08-07,4.89
1987-08-10,4.85
1987-08-11,4.85
1987-08-12,4.87
1987-08-13,4.84
1987-08-14,4.8
1987-08-17,4.68
1987-08-18,4.64
1987-08-19,4.56
1987-08-20,4.51
1987-08-21,4.45
1987-08-24,4.29
1987-08-25,4.31
1987-08-26,4.45
1987-08-27,4.49
1987-08-28,4.46
1987-08-31,4.57
1987-09-01,4.51
1987-09-02,4.5
1987-09-03,4.44
1987-09-04,4.42
1987-09-07,4.29
1987-09-08,4.31
1987-09-09,4.36
1987-09-10,4.48
1987-09-11,4.45
1987-09-14,4.44
1987-09-15,4.55
1987-09-16,4.53
1987-09-17,4.52
1987-09-18,4.48
1987-09-21,4.47
1987-09-22,4.53
1987-09-23,4.54
1987-09-24,4.58
1987-09-25,4.56
1987-09-28,4.58
1987-09-29,4.56
1987-09-30,4.55
1987-10-01,4.56
1987-10-02,4.59
1987-10-05,4.63
1987-10-06,4.58
1987-10-07,4.56
1987-10-08,4.57
1987-10-09,4.56
1987-10-12,4.54
1987-10-13,4.55
1987-10-14,4.58
1987-10-15,4.55
1987-10-16,4.62
1987-10-19,4.6
1987-10-20,4.56
1987-10-21,4.63
1987-10-22,4.68
1987-10-23,4.63
1987-10-26,4.53
1987-10-27,4.53
1987-10-28,4.52
1987-10-29,4.46
1987-10-30,4.5
1987-11-02,4.42
1987-11-03,4.35
1987-11-04,4.24
1987-11-05,4.19
1987-11-06,4.19
1987-11-09,4.08
1987-11-10,4.11
1987-11-11,4.14
1987-11-12,4.18
1987-11-13,4.18
1987-11-16,4.19
1987-11-17,4.09
1987-11-18,4.03
1987-11-19,4.08
1987-11-20,4.1
1987-11-23,4.17
1987-11-24,4.16
1987-11-25,4.11
1987-11-26,4.12
1987-11-27,4.12
1987-11-30,4.07
1987-12-01,4.07
1987-12-02,4.11
1987-12-03,4.14
1987-12-04,4.17
1987-12-07,4.14
1987-12-08,4.09
1987-12-09,4.04
1987-12-10,4.07
1987-12-11,4.06
1987-12-14,3.84
1987-12-15,3.7
1987-12-16,3.65
1987-12-17,3.43
1987-12-18,3.56
1987-12-21,3.52
1987-12-22,3.82
1987-12-23,3.96
1987-12-24,3.92
1987-12-28,3.85
1987-12-29,3.92
1987-12-30,4.03
1987-12-31,3.95
1988-01-04,4.03
1988-01-05,3.88
1988-01-06,4.1
1988-01-08,3.92
1988-01-11,3.82
1988-01-12,3.66
1988-01-13,3.75
1988-01-14,3.8
1988-01-15,3.81
1988-01-18,3.94
1988-01-19,3.99
1988-01-20,3.91
1988-01-21,3.95
1988-01-22,3.88
1988-01-25,3.83
1988-01-27,3.74
1988-01-28,3.74
1988-01-29,3.79
1988-02-01,3.78
1988-02-02,3.79
1988-02-03,3.77
1988-02-04,3.79
1988-02-05,3.76
1988-02-08,3.88
1988-02-09,3.86
1988-02-10,3.79
1988-02-11,3.78
1988-02-12,3.7
1988-02-15,3.7
1988-02-16,3.7
1988-02-17,3.74
1988-02-18,3.64
1988-02-19,3.67
1988-02-22,3.62
1988-02-23,3.65
1988-02-24,3.59
1988-02-25,3.48
1988-02-26,3.42
1988-02-29,3.66
1988-03-01,3.52
1988-03-02,3.43
1988-03-03,3.49
1988-03-04,3.49
1988-03-07,3.46
1988-03-08,3.4
1988-03-09,3.44
1988-03-10,3.56
1988-03-11,3.65
1988-03-14,3.5
1988-03-15,3.51
1988-03-16,3.55
1988-03-17,3.55
1988-03-18,3.69
1988-03-21,3.8
1988-03-22,3.72
1988-03-23,3.81
1988-03-24,3.86
1988-03-25,3.8
1988-03-28,3.81
1988-03-29,3.81
1988-03-30,3.85
1988-03-31,3.84
1988-04-05,3.78
1988-04-06,3.76
1988-04-07,3.81
1988-04-08,3.8
1988-04-11,3.98
1988-04-12,4.06
1988-04-13,4.08
1988-04-14,4.11
1988-04-15,4.11
1988-04-18,4.24
1988-04-19,4.15
1988-04-20,4.08
1988-04-21,4.14
1988-04-22,4.18
1988-04-25,4.19
1988-04-26,4.2
1988-04-27,4.26
1988-04-28,4.13
1988-04-29,4.06
1988-05-02,3.91
1988-05-03,3.94
1988-05-04,3.97
1988-05-05,3.96
1988-05-06,4.04
1988-05-09,4.05
1988-05-10,4.01
1988-05-11,4.03
1988-05-12,4.01
1988-05-13,4.04
1988-05-16,4.52
1988-05-17,4.52
1988-05-18,4.5
1988-05-19,4.45
1988-05-20,4.5
1988-05-23,4.44
1988-05-24,4.46
1988-05-25,4.43
1988-05-26,4.44
1988-05-27,4.46
1988-05-30,4.47
1988-05-31,4.47
1988-06-01,4.51
1988-06-02,4.53
1988-06-03,4.56
1988-06-06,4.5
1988-06-07,4.48
1988-06-08,4.49
1988-06-09,4.51
1988-06-10,4.37
1988-06-13,4.3
1988-06-14,4.39
1988-06-15,4.39
1988-06-16,4.31
1988-06-17,4.33
1988-06-20,4.2
1988-06-21,4.21
1988-06-22,4.26
1988-06-23,4.3
1988-06-24,4.31
1988-06-27,4.3
1988-06-28,4.24
1988-06-29,4.19
1988-06-30,4.08
1988-07-01,4.03
1988-07-04,4.07
1988-07-05,4.04
1988-07-06,4.17
1988-07-07,4.46
1988-07-08,4.34
1988-07-11,4.24
1988-07-12,4.06
1988-07-13,4.09
1988-07-14,4.1
1988-07-15,4.16
1988-07-18,4.42
1988-07-19,4.37
1988-07-20,4.49
1988-07-21,4.55
1988-07-22,4.55
1988-07-25,4.55
1988-07-26,4.46
1988-07-27,4.5
1988-07-28,4.55
1988-07-29,4.6
1988-08-01,4.56
1988-08-02,4.47
1988-08-03,4.39
1988-08-04,4.24
1988-08-05,4.36
1988-08-08,4.56
1988-08-09,4.53
1988-08-10,4.49
1988-08-11,4.46
1988-08-12,4.4
1988-08-15,4.34
1988-08-16,4.36
1988-08-17,4.35
1988-08-18,4.37
1988-08-19,4.37
1988-08-22,4.46
1988-08-23,4.38
1988-08-24,4.39
1988-08-25,4.3
1988-08-26,4.25
1988-08-29,4.25
1988-08-30,4.25
1988-08-31,4.24
1988-09-01,4.17
1988-09-02,4.13
1988-09-05,4.01
1988-09-06,3.91
1988-09-07,3.84
1988-09-08,3.88
1988-09-09,3.87
1988-09-12,3.71
1988-09-13,3.91
1988-09-14,4.06
1988-09-15,3.97
1988-09-16,3.89
1988-09-19,3.78
1988-09-20,3.86
1988-09-21,3.83
1988-09-22,3.89
1988-09-23,3.89
1988-09-26,3.87
1988-09-27,3.71
1988-09-28,3.87
1988-09-29,3.8
1988-09-30,3.62
1988-10-03,3.51
1988-10-04,3.51
1988-10-05,3.38
1988-10-06,3.41
1988-10-07,3.43
1988-10-10,3.67
1988-10-11,3.7
1988-10-12,3.73
1988-10-13,3.74
1988-10-14,3.91
1988-10-17,4.0
1988-10-18,3.82
1988-10-19,3.94
1988-10-20,3.98
1988-10-21,3.96
1988-10-24,3.58
1988-10-25,3.56
1988-10-26,3.55
1988-10-27,3.61
1988-10-28,3.68
1988-10-31,3.67
1988-11-01,3.57
1988-11-02,3.61
1988-11-03,3.64
1988-11-04,3.72
1988-11-07,3.74
1988-11-08,3.67
1988-11-09,3.7
1988-11-10,3.78
1988-11-11,3.75
1988-11-14,3.74
1988-11-15,3.75
1988-11-16,3.66
1988-11-17,3.44
1988-11-18,3.48
1988-11-21,3.48
1988-11-22,3.82
1988-11-23,3.81
1988-11-24,3.7
1988-11-25,4.19
1988-11-28,4.21
1988-11-29,4.08
1988-11-30,4.1
1988-12-01,4.26
1988-12-02,4.23
1988-12-05,4.19
1988-12-06,4.1
1988-12-07,4.21
1988-12-08,4.32
1988-12-09,4.26
1988-12-12,4.36
1988-12-13,4.36
1988-12-14,4.42
1988-12-15,4.46
1988-12-16,4.5
1988-12-19,4.41
1988-12-20,4.43
1988-12-21,4.45
1988-12-22,4.42
1988-12-23,4.47
1988-12-27,4.72
1988-12-28,4.7
1988-12-29,4.65
1988-12-30,4.72
1989-01-03,4.97
1989-01-04,5.03
1989-01-05,5.07
1989-01-06,5.18
1989-01-09,5.27
1989-01-10,5.19
1989-01-11,5.25
1989-01-12,5.22
1989-01-13,5.42
1989-01-16,5.48
1989-01-17,5.56
1989-01-18,5.63
1989-01-19,5.7
1989-01-20,5.67
1989-01-23,5.3
1989-01-24,5.28
1989-01-25,5.52
1989-01-26,5.53
1989-01-27,5.38
1989-01-30,5.3
1989-01-31,5.14
1989-02-01,5.18
1989-02-02,5.34
1989-02-03,5.29
1989-02-06,5.23
1989-02-07,5.37
1989-02-08,5.42
1989-02-09,5.34
1989-02-10,5.25
1989-02-13,5.33
1989-02-14,5.42
1989-02-15,5.37
1989-02-16,5.51
1989-02-17,5.49
1989-02-20,5.58
1989-02-21,5.55
1989-02-22,5.46
1989-02-23,5.49
1989-02-24,5.48
1989-02-27,5.65
1989-02-28,5.58
1989-03-01,5.62
1989-03-02,5.71
1989-03-03,5.85
1989-03-06,5.83
1989-03-07,5.8
1989-03-08,5.8
1989-03-09,5.9
1989-03-10,5.83
1989-03-13,6.0
1989-03-14,6.18
1989-03-15,6.32
1989-03-16,6.3
1989-03-17,6.41
1989-03-20,6.38
1989-03-21,6.53
1989-03-22,6.52
1989-03-23,6.63
1989-03-28,6.59
1989-03-29,6.52
1989-03-30,6.69
1989-03-31,6.86
1989-04-03,6.59
1989-04-04,6.61
1989-04-05,6.58
1989-04-06,6.35
1989-04-07,6.45
1989-04-10,6.54
1989-04-11,6.66
1989-04-12,6.64
1989-04-13,6.65
1989-04-14,6.55
1989-04-17,6.59
1989-04-18,6.7
1989-04-19,7.12
1989-04-20,7.37
1989-04-21,7.13
1989-04-24,7.0
1989-04-25,7.02
1989-04-26,7.01
1989-04-27,6.88
1989-04-28,6.72
1989-05-02,6.42
1989-05-03,6.33
1989-05-04,6.61
1989-05-05,6.52
1989-05-08,6.33
1989-05-09,6.43
1989-05-10,6.47
1989-05-11,6.62
1989-05-12,6.61
1989-05-15,6.61
1989-05-16,6.87
1989-05-17,6.46
1989-05-18,6.54
1989-05-19,6.43
1989-05-22,6.2
1989-05-23,6.31
1989-05-24,6.5
1989-05-25,6.51
1989-05-26,6.28
1989-05-29,6.39
1989-05-30,6.51
1989-05-31,6.55
1989-06-01,6.47
1989-06-02,6.49
1989-06-05,6.63
1989-06-06,6.73
1989-06-07,6.57
1989-06-08,6.45
1989-06-09,6.52
1989-06-12,6.36
1989-06-13,6.2
1989-06-14,6.24
1989-06-15,6.31
1989-06-16,6.14
1989-06-19,6.21
1989-06-20,6.19
1989-06-21,6.34
1989-06-22,6.34
1989-06-23,6.62
1989-06-26,6.68
1989-06-27,6.69
1989-06-28,6.63
1989-06-29,6.7
1989-06-30,6.74
1989-07-03,6.74
1989-07-04,6.79
1989-07-05,6.84
1989-07-06,6.64
1989-07-07,6.48
1989-07-10,6.46
1989-07-11,6.4
1989-07-12,6.41
1989-07-13,6.39
1989-07-14,6.53
1989-07-17,6.64
1989-07-18,6.65
1989-07-19,6.53
1989-07-20,6.62
1989-07-21,6.54
1989-07-24,6.36
1989-07-25,6.27
1989-07-26,6.05
1989-07-27,5.93
1989-07-28,6.0
1989-07-31,5.97
1989-08-01,5.94
1989-08-02,5.87
1989-08-03,6.0
1989-08-04,5.96
1989-08-07,5.92
1989-08-08,6.07
1989-08-09,6.12
1989-08-10,6.3
1989-08-11,6.4
1989-08-14,6.39
1989-08-15,6.45
1989-08-16,6.46
1989-08-17,6.46
1989-08-18,6.44
1989-08-21,6.47
1989-08-22,6.54
1989-08-23,6.51
1989-08-24,6.55
1989-08-25,6.51
1989-08-28,6.53
1989-08-29,6.57
1989-08-30,6.56
1989-08-31,6.63
1989-09-01,6.71
1989-09-04,6.78
1989-09-05,6.81
1989-09-06,6.93
1989-09-07,6.96
1989-09-08,6.96
1989-09-11,7.05
1989-09-12,7.01
1989-09-13,7.06
1989-09-14,6.99
1989-09-15,7.0
1989-09-18,7.07
1989-09-19,7.0
1989-09-20,6.96
1989-09-21,6.96
1989-09-22,6.84
1989-09-25,6.76
1989-09-26,6.75
1989-09-27,6.74
1989-09-28,6.91
1989-09-29,6.98
1989-10-02,7.15
1989-10-03,7.22
1989-10-04,7.24
1989-10-05,7.12
1989-10-06,7.15
1989-10-09,7.08
1989-10-10,7.21
1989-10-11,7.39
1989-10-12,7.54
1989-10-13,7.68
1989-10-16,7.54
1989-10-17,7.62
1989-10-18,7.57
1989-10-19,7.51
1989-10-20,7.47
1989-10-23,7.38
1989-10-24,7.33
1989-10-25,7.36
1989-10-26,7.22
1989-10-27,7.34
1989-10-30,7.41
1989-10-31,7.41
1989-11-01,7.55
1989-11-02,7.54
1989-11-03,7.46
1989-11-06,7.46
1989-11-07,7.43
1989-11-08,7.42
1989-11-09,7.4
1989-11-10,7.51
1989-11-13,7.46
1989-11-14,7.39
1989-11-15,7.35
1989-11-16,7.37
1989-11-17,7.42
1989-11-20,7.46
1989-11-21,7.4
1989-11-22,7.34
1989-11-23,7.28
1989-11-24,7.3
1989-11-27,7.3
1989-11-28,7.2
1989-11-29,7.15
1989-11-30,7.3
1989-12-01,7.37
