date,buy,sell,mean
2020-03-31,,,99.44
2020-04-01,,,99.6
2020-04-02,,,99.16
2020-04-03,,,100.39
2020-04-06,,,100.39
2020-04-07,,,100.15
2020-04-08,,,100.33
2020-04-14,,,100.55
2020-04-15,,,100.46
2020-04-16,,,100.69
2020-04-17,,,101.48
2020-04-20,,,101.39
2020-04-21,,,101.48
2020-04-22,,,101.95
2020-04-24,,,103.15
2020-04-27,,,102.98
2020-04-28,,,103.41
2020-04-29,,,103.95
2020-04-30,,,103.9
2020-05-04,,,102.97
2020-05-05,,,103.85
2020-05-06,,,103.92
2020-05-07,,,104.01
2020-05-08,,,103.45
2020-05-11,,,103.4
2020-05-12,,,103.52
2020-05-13,,,102.94
2020-05-14,,,103.02
2020-05-15,,,102.81
2020-05-18,,,101.97
2020-05-19,,,100.76
2020-05-20,,,101.0
2020-05-22,,,100.74
2020-05-25,,,100.07
2020-05-26,,,99.23
2020-05-27,,,96.94
2020-05-28,,,96.49
2020-05-29,,,95.9
2020-06-02,,,96.46
2020-06-03,,,96.36
2020-06-04,,,94.79
2020-06-05,,,94.33
2020-06-08,,,95.17
2020-06-09,,,95.37
2020-06-10,,,95.48
2020-06-11,,,96.17
2020-06-12,,,96.72
2020-06-15,,,96.75
2020-06-16,,,97.02
2020-06-18,,,97.65
2020-06-19,,,98.6
2020-06-22,,,98.79
2020-06-23,,,99.76
2020-06-24,,,100.12
2020-06-25,,,100.51
2020-06-26,,,99.21
2020-06-29,,,98.93
2020-06-30,,,99.18
2020-07-01,,,99.56
2020-07-02,,,99.33
2020-07-03,,,99.81
2020-07-06,,,99.96
2020-07-07,,,99.7
2020-07-08,,,99.9
2020-07-09,,,100.68
2020-07-10,,,101.16
2020-07-13,,,101.12
2020-07-14,,,100.76
2020-07-15,,,100.74
2020-07-16,,,100.79
2020-07-17,,,100.91
2020-07-20,,,100.6
2020-07-21,,,100.32
2020-07-22,,,98.52
2020-07-23,,,98.34
2020-07-24,,,98.2
2020-07-27,,,97.83
2020-07-28,,,97.99
2020-07-29,,,98.3
2020-07-30,,,98.41
2020-07-31,,,98.29
2020-08-04,,,98.74
2020-08-05,,,98.62
2020-08-06,,,98.65
2020-08-07,,,98.96
2020-08-10,,,99.44
2020-08-11,,,99.59
2020-08-12,,,99.66
2020-08-13,,,99.17
2020-08-14,,,99.42
2020-08-17,,,99.53
2020-08-18,,,99.26
2020-08-19,,,99.52
2020-08-20,,,100.1
2020-08-21,,,100.72
2020-08-24,,,100.56
2020-08-25,,,100.48
