date,buy,sell,mean
2020-03-31,,,0.1157
2020-04-01,,,0.1159
2020-04-02,,,0.1157
2020-04-03,,,0.1166
2020-04-06,,,0.1172
2020-04-07,,,0.1178
2020-04-08,,,0.1175
2020-04-14,,,0.1172
2020-04-15,,,0.1173
2020-04-16,,,0.1172
2020-04-17,,,0.1188
2020-04-20,,,0.1183
2020-04-21,,,0.1177
2020-04-22,,,0.1181
2020-04-24,,,0.1191
2020-04-27,,,0.1192
2020-04-28,,,0.1203
2020-04-29,,,0.1207
2020-04-30,,,0.1213
2020-05-04,,,0.1191
2020-05-05,,,0.1203
2020-05-06,,,0.1204
2020-05-07,,,0.1205
2020-05-08,,,0.1199
2020-05-11,,,0.1197
2020-05-12,,,0.1198
2020-05-13,,,0.119
2020-05-14,,,0.1193
2020-05-15,,,0.1189
2020-05-18,,,0.1179
2020-05-19,,,0.1165
2020-05-20,,,0.1164
2020-05-22,,,0.1156
2020-05-25,,,0.1148
2020-05-26,,,0.1142
2020-05-27,,,0.1112
2020-05-28,,,0.1105
2020-05-29,,,0.1095
2020-06-02,,,0.1106
2020-06-03,,,0.1107
2020-06-04,,,0.1089
2020-06-05,,,0.1088
2020-06-08,,,0.1104
2020-06-09,,,0.1107
2020-06-10,,,0.1111
2020-06-11,,,0.1116
2020-06-12,,,0.1119
2020-06-15,,,0.1111
2020-06-16,,,0.1114
2020-06-18,,,0.1124
2020-06-19,,,0.1137
2020-06-22,,,0.1135
2020-06-23,,,0.1149
2020-06-24,,,0.1157
2020-06-25,,,0.1162
2020-06-26,,,0.115
2020-06-29,,,0.1148
2020-06-30,,,0.1152
2020-07-01,,,0.1154
2020-07-02,,,0.1154
2020-07-03,,,0.1161
2020-07-06,,,0.1166
2020-07-07,,,0.1163
2020-07-08,,,0.1166
2020-07-09,,,0.1173
2020-07-10,,,0.1173
2020-07-13,,,0.1169
2020-07-14,,,0.1164
2020-07-15,,,0.1165
2020-07-16,,,0.1166
2020-07-17,,,0.1164
2020-07-20,,,0.1162
2020-07-21,,,0.1165
2020-07-22,,,0.114
2020-07-23,,,0.1136
2020-07-24,,,0.1131
2020-07-27,,,0.1127
2020-07-28,,,0.1127
2020-07-29,,,0.1133
2020-07-30,,,0.1132
2020-07-31,,,0.1133
2020-08-04,,,0.1137
2020-08-05,,,0.1138
2020-08-06,,,0.114
2020-08-07,,,0.1145
2020-08-10,,,0.115
2020-08-11,,,0.1154
2020-08-12,,,0.1156
2020-08-13,,,0.1148
2020-08-14,,,0.115
2020-08-17,,,0.1149
2020-08-18,,,0.1143
2020-08-19,,,0.1153
2020-08-20,,,0.1154
2020-08-21,,,0.1158
2020-08-24,,,0.1159
2020-08-25,,,0.1159
2020-08-26,,,0.1164
2020-08-27,,,0.1168
2020-08-28,,,0.1162
2020-08-31,,,0.1161
2020-09-01,,,0.1159
2020-09-02,,,0.1168
2020-09-03,,,0.1169
2020-09-04,,,0.1169
2020-09-07,,,0.1174
2020-09-08,,,0.1179
2020-09-09,,,0.1186
2020-09-10,,,0.1164
2020-09-11,,,0.115
2020-09-14,,,0.1139
2020-09-15,,,0.1147
2020-09-16,,,0.1154
2020-09-17,,,0.1173
2020-09-18,,,0.1168
2020-09-21,,,0.1177
