date,price
1996-09-01,76.0
1996-10-01,76.0
1996-11-01,77.0
1996-12-01,77.0
1997-01-01,77.0
1997-02-01,77.9
1997-03-01,77.5
1997-04-01,77.5
1997-05-01,77.5
1997-06-01,77.5
1997-07-01,76.0
1997-08-01,79.3
1997-09-01,79.3
1997-10-01,79.3
1997-11-01,79.3
1997-12-01,78.3
1998-01-01,77.2
1998-02-01,76.0
1998-03-01,75.0
1998-04-01,74.2
1998-05-01,74.2
1998-06-01,75.4
1998-07-01,75.4
1998-08-01,75.4
1998-09-01,74.8
1998-10-01,74.8
1998-11-01,74.8
1998-12-01,72.6
1999-01-01,70.2
1999-02-01,70.2
1999-03-01,70.2
1999-04-01,72.1
1999-05-01,75.1
1999-06-01,78.6
1999-07-01,79.7
1999-08-01,82.4
1999-09-01,87.7
1999-10-01,86.1
1999-11-01,85.4
1999-12-01,86.3
2000-01-01,87.5
2000-02-01,87.5
2000-03-01,89.9
2000-04-01,91.9
2000-05-01,91.3
2000-06-01,94.5
2000-07-01,98.3
2000-08-01,95.0
2000-09-01,94.7
2000-10-01,96.6
2000-11-01,98.0
2000-12-01,96.0
2001-01-01,91.8
2001-02-01,94.3
2001-03-01,95.9
2001-04-01,96.3
2001-05-01,102.9
2001-06-01,104.9
2001-07-01,102.9
2001-08-01,98.8
2001-09-01,99.7
2001-10-01,99.7
2001-11-01,95.7
2001-12-01,94.2
2002-01-01,92.2
2002-02-01,92.2
2002-03-01,91.2
2002-04-01,91.2
2002-05-01,94.5
2002-06-01,96.0
2002-07-01,97.0
2002-08-01,97.0
2002-09-01,98.7
2002-10-01,99.5
2002-11-01,98.5
2002-12-01,96.3
2003-01-01,98.2
2003-02-01,100.2
2003-03-01,100.8
2003-04-01,99.3
2003-05-01,96.3
2003-06-01,95.3
2003-07-01,97.6
2003-08-01,97.6
2003-09-01,100.1
2003-10-01,96.6
2003-11-01,96.93
2003-12-01,99.9
2004-01-01,100.9
2004-02-01,98.7
2004-03-01,100.7
2004-04-01,103.7
2004-05-01,108.4
2004-06-01,111.33
2004-07-01,111.65
2004-08-01,113.0
2004-09-01,111.5
2004-10-01,111.75
2004-11-01,110.5
2004-12-01,107.6
2005-01-01,98.85
2005-02-01,98.7
2005-03-01,99.1
2005-04-01,101.9
2005-05-01,105.45
2005-06-01,108.0
2005-07-01,109.2
2005-08-01,113.0
2005-09-01,116.55
2005-10-01,111.75
2005-11-01,107.05
2005-12-01,107.9
2006-01-01,110.8
2006-02-01,110.9
2006-03-01,114.4
2006-04-01,123.1
2006-05-01,125.15
2006-06-01,126.1
