date,buy,sell,mean
2020-03-31,,,5.973
2020-04-01,,,5.929
2020-04-02,,,5.867
2020-04-03,,,5.845
2020-04-06,,,5.718
2020-04-07,,,5.886
2020-04-08,,,5.887
2020-04-14,,,6.003
2020-04-15,,,5.986
2020-04-16,,,5.968
2020-04-17,,,6.033
2020-04-20,,,5.971
2020-04-21,,,5.993
2020-04-22,,,5.987
2020-04-24,,,5.964
2020-04-27,,,5.867
2020-04-28,,,6.008
2020-04-29,,,6.093
2020-04-30,,,6.173
2020-05-04,,,5.904
2020-05-05,,,6.148
2020-05-06,,,6.136
2020-05-07,,,6.094
2020-05-08,,,6.111
2020-05-11,,,6.144
2020-05-12,,,6.125
2020-05-13,,,6.045
2020-05-14,,,6.046
2020-05-15,,,6.122
2020-05-18,,,6.117
2020-05-19,,,6.063
2020-05-20,,,6.109
2020-05-22,,,6.232
2020-05-25,,,6.277
2020-05-26,,,6.358
2020-05-27,,,6.183
2020-05-28,,,6.132
2020-05-29,,,6.112
2020-06-02,,,6.183
2020-06-03,,,6.248
2020-06-04,,,6.051
2020-06-05,,,6.03
2020-06-08,,,6.151
2020-06-09,,,6.096
2020-06-10,,,6.066
2020-06-11,,,6.003
2020-06-12,,,5.947
2020-06-15,,,5.974
2020-06-16,,,6.112
2020-06-18,,,6.098
2020-06-19,,,6.068
2020-06-22,,,6.115
2020-06-23,,,6.208
2020-06-24,,,6.172
2020-06-25,,,6.131
2020-06-26,,,6.076
2020-06-29,,,5.974
2020-06-30,,,5.986
2020-07-01,,,6.06
2020-07-02,,,6.126
2020-07-03,,,6.169
2020-07-06,,,6.249
2020-07-07,,,6.147
2020-07-08,,,6.128
2020-07-09,,,6.175
2020-07-10,,,6.176
2020-07-13,,,6.251
2020-07-14,,,6.201
2020-07-15,,,6.275
2020-07-16,,,6.265
2020-07-17,,,6.251
2020-07-20,,,6.215
2020-07-21,,,6.227
2020-07-22,,,6.098
2020-07-23,,,6.084
2020-07-24,,,6.033
2020-07-27,,,6.089
2020-07-28,,,6.136
2020-07-29,,,6.183
2020-07-30,,,6.097
2020-07-31,,,6.084
2020-08-04,,,5.981
2020-08-05,,,5.994
2020-08-06,,,5.997
2020-08-07,,,6.036
2020-08-10,,,6.08
2020-08-11,,,6.111
2020-08-12,,,6.137
2020-08-13,,,6.09
2020-08-14,,,6.147
2020-08-17,,,6.202
2020-08-18,,,6.151
2020-08-19,,,6.133
2020-08-20,,,6.186
2020-08-21,,,6.227
2020-08-24,,,6.277
2020-08-25,,,6.271
2020-08-26,,,6.295
2020-08-27,,,6.298
2020-08-28,,,6.265
2020-08-31,,,6.306
2020-09-01,,,6.321
2020-09-02,,,6.352
2020-09-03,,,6.398
2020-09-04,,,6.454
2020-09-07,,,6.462
2020-09-08,,,6.412
2020-09-09,,,6.489
2020-09-10,,,6.466
2020-09-11,,,6.411
2020-09-14,,,6.353
2020-09-15,,,6.441
2020-09-16,,,6.434
2020-09-17,,,6.528
2020-09-18,,,6.5
2020-09-21,,,6.388
2020-09-22,,,6.45
2020-09-23,,,6.248
2020-09-24,,,6.199
2020-09-25,,,6.223
2020-09-28,,,6.258
2020-09-29,,,6.223
2020-09-30,,,6.195
2020-10-01,,,6.317
2020-10-02,,,6.326
2020-10-05,,,6.431
2020-10-06,,,6.489
2020-10-07,,,6.451
2020-10-08,,,6.476
2020-10-09,,,6.491
2020-10-12,,,6.508
2020-10-13,,,6.523
2020-10-14,,,6.501
2020-10-15,,,6.486
2020-10-16,,,6.564
2020-10-19,,,6.586
2020-10-20,,,6.552
2020-10-21,,,6.601
2020-10-22,,,6.584
2020-10-23,,,6.663
2020-10-26,,,6.649
2020-10-27,,,6.702
2020-10-28,,,6.606
2020-10-29,,,6.605
2020-10-30,,,6.613
2020-11-02,,,6.611
2020-11-03,,,6.617
2020-11-04,,,6.643
2020-11-05,,,6.682
2020-11-06,,,6.625
2020-11-09,,,6.819
2020-11-10,,,6.729
2020-11-11,,,6.779
2020-11-12,,,6.681
2020-11-13,,,6.684
2020-11-16,,,6.726
2020-11-17,,,6.665
2020-11-18,,,6.725
2020-11-19,,,6.709
2020-11-20,,,6.76
2020-11-23,,,6.769
2020-11-24,,,6.757
2020-11-25,,,6.742
2020-11-26,,,6.765
2020-11-27,,,6.648
2020-11-30,,,6.612
2020-12-01,,,6.578
2020-12-02,,,6.406
2020-12-03,,,6.339
2020-12-04,,,6.309
2020-12-07,,,6.338
2020-12-08,,,6.351
2020-12-09,,,6.416
2020-12-10,,,6.406
2020-12-11,,,6.34
2020-12-14,,,6.359
2020-12-15,,,6.322
2020-12-16,,,6.412
2020-12-17,,,6.411
2020-12-18,,,6.428
2020-12-21,,,6.298
2020-12-22,,,6.374
2020-12-23,,,6.377
2020-12-28,,,6.42
2020-12-29,,,6.404
2020-12-30,,,6.404
2020-12-31,,,6.407
2021-01-04,,,6.428
2021-01-05,,,6.345
2021-01-06,,,6.415
2021-01-07,,,6.397
2021-01-08,,,6.355
2021-01-11,,,6.404
2021-01-12,,,6.429
2021-01-13,,,6.462
2021-01-14,,,6.515
2021-01-15,,,6.511
2021-01-18,,,6.537
2021-01-19,,,6.599
2021-01-20,,,6.615
2021-01-21,,,6.575
2021-01-22,,,6.475
2021-01-25,,,6.462
2021-01-26,,,6.452
2021-01-27,,,6.423
2021-01-28,,,6.31
2021-01-29,,,6.366
2021-02-01,,,6.375
2021-02-02,,,6.404
2021-02-03,,,6.447
2021-02-04,,,6.416
2021-02-05,,,6.362
2021-02-08,,,6.364
2021-02-09,,,6.332
2021-02-10,,,6.363
2021-02-11,,,6.44
2021-02-12,,,6.425
2021-02-15,,,6.433
2021-02-16,,,6.378
2021-02-17,,,6.365
2021-02-18,,,6.389
2021-02-19,,,6.296
2021-02-22,,,6.171
2021-02-23,,,6.169
2021-02-24,,,6.244
2021-02-25,,,6.054
