date,buy,sell,mean
2020-03-31,,,84.36
2020-04-01,,,84.37
2020-04-02,,,84.55
2020-04-03,,,84.44
2020-04-06,,,85.32
2020-04-07,,,85.45
2020-04-08,,,85.53
2020-04-14,,,86.55
2020-04-15,,,85.87
2020-04-16,,,85.86
2020-04-17,,,86.75
2020-04-20,,,87.38
2020-04-21,,,86.64
2020-04-22,,,87.08
2020-04-24,,,88.22
2020-04-27,,,88.65
2020-04-28,,,88.71
2020-04-29,,,89.36
2020-04-30,,,89.69
2020-05-04,,,88.09
2020-05-05,,,89.0
2020-05-06,,,89.21
2020-05-07,,,89.35
2020-05-08,,,89.63
2020-05-11,,,89.18
2020-05-12,,,89.39
2020-05-13,,,87.84
2020-05-14,,,87.61
2020-05-15,,,87.49
2020-05-18,,,86.68
2020-05-19,,,86.95
2020-05-20,,,87.46
2020-05-22,,,87.51
2020-05-25,,,86.94
2020-05-26,,,87.05
2020-05-27,,,85.44
2020-05-28,,,84.74
2020-05-29,,,84.23
2020-06-02,,,85.4
2020-06-03,,,86.27
2020-06-04,,,85.18
2020-06-05,,,85.45
2020-06-08,,,86.35
2020-06-09,,,86.17
2020-06-10,,,86.57
2020-06-11,,,86.65
2020-06-12,,,86.74
2020-06-15,,,86.73
2020-06-16,,,87.22
2020-06-18,,,87.68
2020-06-19,,,88.32
2020-06-22,,,88.93
2020-06-23,,,90.16
2020-06-24,,,89.46
2020-06-25,,,89.82
2020-06-26,,,88.93
2020-06-29,,,88.63
2020-06-30,,,88.76
2020-07-01,,,89.65
2020-07-02,,,90.17
2020-07-03,,,90.77
2020-07-06,,,90.96
2020-07-07,,,90.9
2020-07-08,,,91.2
2020-07-09,,,92.14
2020-07-10,,,92.52
2020-07-13,,,92.32
2020-07-14,,,91.66
2020-07-15,,,91.91
2020-07-16,,,91.84
2020-07-17,,,91.84
2020-07-20,,,91.77
2020-07-21,,,91.93
2020-07-22,,,90.91
2020-07-23,,,90.71
2020-07-24,,,90.12
2020-07-27,,,90.06
2020-07-28,,,89.89
2020-07-29,,,90.0
