date,buy,sell,mean
2020-03-31,,,4.3188
2020-04-01,,,4.3326
2020-04-02,,,4.3056
2020-04-03,,,4.3661
2020-04-06,,,4.3789
2020-04-07,,,4.3551
2020-04-08,,,4.3691
2020-04-14,,,4.3513
2020-04-15,,,4.383
2020-04-16,,,4.3974
2020-04-17,,,4.44
2020-04-20,,,4.4395
2020-04-21,,,4.4629
2020-04-22,,,4.4986
2020-04-24,,,4.5303
2020-04-27,,,4.498
2020-04-28,,,4.5151
2020-04-29,,,4.5347
2020-04-30,,,4.5229
2020-05-04,,,4.5028
2020-05-05,,,4.5391
2020-05-06,,,4.5479
2020-05-07,,,4.5504
2020-05-08,,,4.5338
2020-05-11,,,4.5493
2020-05-12,,,4.5672
2020-05-13,,,4.5459
2020-05-14,,,4.5671
2020-05-15,,,4.5647
2020-05-18,,,4.5424
2020-05-19,,,4.4729
2020-05-20,,,4.4943
2020-05-22,,,4.4953
2020-05-25,,,4.4654
2020-05-26,,,4.4163
2020-05-27,,,4.3063
2020-05-28,,,4.3009
2020-05-29,,,4.2555
2020-06-02,,,4.2848
2020-06-03,,,4.2675
2020-06-04,,,4.2021
2020-06-05,,,4.1772
2020-06-08,,,4.2141
2020-06-09,,,4.2354
2020-06-10,,,4.2443
2020-06-11,,,4.3127
2020-06-12,,,4.3443
2020-06-15,,,4.3389
2020-06-16,,,4.3396
2020-06-18,,,4.371
2020-06-19,,,4.4322
2020-06-22,,,4.44
2020-06-23,,,4.4878
2020-06-24,,,4.5083
2020-06-25,,,4.5243
2020-06-26,,,4.4624
2020-06-29,,,4.4601
2020-06-30,,,4.4837
2020-07-01,,,4.4844
2020-07-02,,,4.4537
2020-07-03,,,4.4714
2020-07-06,,,4.4791
2020-07-07,,,4.4537
2020-07-08,,,4.4621
2020-07-09,,,4.4922
2020-07-10,,,4.5006
2020-07-13,,,4.4781
2020-07-14,,,4.4467
2020-07-15,,,4.4409
2020-07-16,,,4.4308
2020-07-17,,,4.4222
2020-07-20,,,4.3961
2020-07-21,,,4.4006
2020-07-22,,,4.3168
2020-07-23,,,4.2944
