date,buy,sell,mean
2020-03-31,,,4.6753
2020-04-01,,,4.7125
2020-04-02,,,4.701
2020-04-03,,,4.7623
2020-04-06,,,4.7587
2020-04-07,,,4.7518
2020-04-08,,,4.7554
2020-04-14,,,4.7383
2020-04-15,,,4.7571
2020-04-16,,,4.7733
2020-04-17,,,4.81
2020-04-20,,,4.8054
2020-04-21,,,4.8241
2020-04-22,,,4.8363
2020-04-24,,,4.8827
2020-04-27,,,4.8617
2020-04-28,,,4.8869
2020-04-29,,,4.918
2020-04-30,,,4.9267
2020-05-04,,,4.8935
2020-05-05,,,4.9327
2020-05-06,,,4.9199
2020-05-07,,,4.9205
2020-05-08,,,4.8936
2020-05-11,,,4.902
2020-05-12,,,4.9036
2020-05-13,,,4.8752
2020-05-14,,,4.895
2020-05-15,,,4.8953
2020-05-18,,,4.8436
2020-05-19,,,4.7656
2020-05-20,,,4.7679
2020-05-22,,,4.7731
2020-05-25,,,4.7423
2020-05-26,,,4.6969
2020-05-27,,,4.5728
2020-05-28,,,4.5656
2020-05-29,,,4.5152
2020-06-02,,,4.5176
2020-06-03,,,4.5042
2020-06-04,,,4.4401
2020-06-05,,,4.4131
2020-06-08,,,4.4561
2020-06-09,,,4.465
2020-06-10,,,4.4702
2020-06-11,,,4.5048
2020-06-12,,,4.5394
2020-06-15,,,4.5461
2020-06-16,,,4.5521
2020-06-18,,,4.5905
2020-06-19,,,4.6496
2020-06-22,,,4.6548
2020-06-23,,,4.6992
2020-06-24,,,4.7191
2020-06-25,,,4.7396
2020-06-26,,,4.6762
2020-06-29,,,4.6731
2020-06-30,,,4.7063
2020-07-01,,,4.7137
2020-07-02,,,4.6986
2020-07-03,,,4.7232
2020-07-06,,,4.7338
2020-07-07,,,4.7247
2020-07-08,,,4.7315
2020-07-09,,,4.7644
2020-07-10,,,4.7764
2020-07-13,,,4.7737
2020-07-14,,,4.7607
2020-07-15,,,4.7453
2020-07-16,,,4.7638
2020-07-17,,,4.7582
2020-07-20,,,4.7406
2020-07-21,,,4.7332
2020-07-22,,,4.6355
2020-07-23,,,4.6289
2020-07-24,,,4.6178
2020-07-27,,,4.5948
2020-07-28,,,4.6141
2020-07-29,,,4.6188
2020-07-30,,,4.6171
2020-07-31,,,4.6015
2020-08-04,,,4.6201
2020-08-05,,,4.6013
2020-08-06,,,4.6033
2020-08-07,,,4.6163
2020-08-10,,,4.645
2020-08-11,,,4.6449
2020-08-12,,,4.6604
2020-08-13,,,4.6202
2020-08-14,,,4.6404
2020-08-17,,,4.633
2020-08-18,,,4.6085
2020-08-19,,,4.6233
2020-08-20,,,4.6595
2020-08-21,,,4.6929
2020-08-24,,,4.6835
2020-08-25,,,4.6799
2020-08-26,,,4.7031
2020-08-27,,,4.7168
2020-08-28,,,4.6811
2020-08-31,,,4.6846
2020-09-01,,,4.6768
2020-09-02,,,4.7235
2020-09-03,,,4.7422
2020-09-04,,,4.7392
2020-09-07,,,4.7549
2020-09-08,,,4.7917
