date,buy,sell,mean
2020-03-31,,,27.283
2020-04-01,,,27.414
2020-04-02,,,27.048
2020-04-03,,,27.395
2020-04-06,,,26.895
2020-04-07,,,26.992
2020-04-08,,,27.417
2020-04-14,,,27.395
2020-04-15,,,27.717
2020-04-16,,,27.429
2020-04-17,,,27.616
2020-04-20,,,27.545
2020-04-21,,,27.282
2020-04-22,,,27.36
2020-04-24,,,26.556
2020-04-27,,,26.126
2020-04-28,,,25.902
2020-04-29,,,26.742
2020-04-30,,,27.439
2020-05-04,,,26.577
2020-05-05,,,26.533
2020-05-06,,,26.438
2020-05-07,,,25.808
2020-05-08,,,25.065
2020-05-11,,,25.547
2020-05-12,,,25.196
2020-05-13,,,24.771
2020-05-14,,,24.906
2020-05-15,,,25.204
2020-05-18,,,24.85
2020-05-19,,,24.95
2020-05-20,,,24.849
2020-05-22,,,25.816
2020-05-25,,,25.768
2020-05-26,,,25.877
2020-05-27,,,25.666
2020-05-28,,,25.983
2020-05-29,,,25.055
2020-06-02,,,25.192
2020-06-03,,,25.901
2020-06-04,,,26.236
2020-06-05,,,25.684
2020-06-08,,,26.708
2020-06-09,,,27.535
2020-06-10,,,26.984
2020-06-11,,,26.808
2020-06-12,,,27.021
2020-06-15,,,26.73
2020-06-16,,,26.18
2020-06-18,,,25.99
2020-06-19,,,25.563
2020-06-22,,,25.94
2020-06-23,,,26.434
2020-06-24,,,26.982
