date,buy,sell,mean
2020-03-31,,,18.959
2020-04-01,,,19.09
2020-04-02,,,18.995
2020-04-03,,,19.265
2020-04-06,,,19.249
2020-04-07,,,19.088
2020-04-08,,,19.157
2020-04-14,,,19.06
2020-04-15,,,19.146
2020-04-16,,,19.222
2020-04-17,,,19.337
2020-04-20,,,19.299
2020-04-21,,,19.405
2020-04-22,,,19.46
2020-04-24,,,19.66
2020-04-27,,,19.543
2020-04-28,,,19.593
2020-04-29,,,19.667
2020-04-30,,,19.587
2020-05-04,,,19.505
2020-05-05,,,19.673
2020-05-06,,,19.777
2020-05-07,,,19.776
2020-05-08,,,19.557
2020-05-11,,,19.593
2020-05-12,,,19.614
2020-05-13,,,19.548
2020-05-14,,,19.657
2020-05-15,,,19.635
2020-05-18,,,19.503
2020-05-19,,,19.091
2020-05-20,,,19.175
2020-05-22,,,19.181
2020-05-25,,,19.077
2020-05-26,,,18.844
2020-05-27,,,18.356
2020-05-28,,,18.333
2020-05-29,,,18.116
2020-06-02,,,18.088
2020-06-03,,,18.02
2020-06-04,,,17.77
2020-06-05,,,17.588
2020-06-08,,,17.719
2020-06-09,,,17.766
2020-06-10,,,17.689
2020-06-11,,,17.838
2020-06-12,,,17.989
2020-06-15,,,18.064
2020-06-16,,,18.058
2020-06-18,,,18.181
2020-06-19,,,18.391
2020-06-22,,,18.474
2020-06-23,,,18.579
2020-06-24,,,18.599
2020-06-25,,,18.715
2020-06-26,,,18.454
2020-06-29,,,18.428
2020-06-30,,,18.539
2020-07-01,,,18.579
2020-07-02,,,18.515
2020-07-03,,,18.621
2020-07-06,,,18.626
2020-07-07,,,18.622
2020-07-08,,,18.647
2020-07-09,,,18.748
2020-07-10,,,18.827
2020-07-13,,,18.805
2020-07-14,,,18.784
2020-07-15,,,18.717
2020-07-16,,,18.785
2020-07-17,,,18.765
2020-07-20,,,18.704
2020-07-21,,,18.644
2020-07-22,,,18.242
2020-07-23,,,18.219
2020-07-24,,,18.217
2020-07-27,,,18.047
2020-07-28,,,18.084
2020-07-29,,,18.09
2020-07-30,,,18.108
2020-07-31,,,18.031
2020-08-04,,,18.175
2020-08-05,,,18.069
2020-08-06,,,18.088
2020-08-07,,,18.153
2020-08-10,,,18.277
2020-08-11,,,18.263
2020-08-12,,,18.31
2020-08-13,,,18.188
2020-08-14,,,18.255
2020-08-17,,,18.232
2020-08-18,,,18.117
2020-08-19,,,18.156
2020-08-20,,,18.34
2020-08-21,,,18.451
2020-08-24,,,18.408
2020-08-25,,,18.398
2020-08-26,,,18.483
2020-08-27,,,18.522
2020-08-28,,,18.384
2020-08-31,,,18.409
2020-09-01,,,18.364
2020-09-02,,,18.551
2020-09-03,,,18.629
2020-09-04,,,18.604
2020-09-07,,,18.657
2020-09-08,,,18.761
2020-09-09,,,18.845
2020-09-10,,,18.481
2020-09-11,,,18.259
2020-09-14,,,18.024
2020-09-15,,,18.069
2020-09-16,,,18.097
2020-09-17,,,18.394
2020-09-18,,,18.179
2020-09-21,,,18.343
2020-09-22,,,18.466
2020-09-23,,,9.754
2020-09-24,,,9.818
2020-09-25,,,9.826
2020-09-28,,,9.833
2020-09-29,,,9.784
2020-09-30,,,9.79
2020-10-01,,,9.75
2020-10-02,,,9.77
2020-10-05,,,9.751
2020-10-06,,,9.748
2020-10-07,,,9.775
2020-10-08,,,9.777
2020-10-09,,,9.751
2020-10-12,,,9.771
2020-10-13,,,9.783
2020-10-14,,,9.813
2020-10-15,,,9.858
2020-10-16,,,9.822
2020-10-19,,,9.798
2020-10-20,,,9.814
2020-10-21,,,9.808
2020-10-22,,,9.838
2020-10-23,,,9.826
2020-10-26,,,9.964
2020-10-27,,,9.898
2020-10-28,,,10.035
2020-10-29,,,10.025
2020-10-30,,,9.982
2020-11-02,,,10.021
2020-11-03,,,9.984
2020-11-04,,,9.902
2020-11-05,,,9.815
2020-11-06,,,9.816
2020-11-09,,,9.722
2020-11-10,,,9.763
2020-11-11,,,9.807
2020-11-12,,,9.763
2020-11-13,,,9.717
2020-11-16,,,9.708
2020-11-17,,,9.713
2020-11-18,,,9.658
2020-11-19,,,9.674
2020-11-20,,,9.659
2020-11-23,,,9.639
2020-11-24,,,9.625
2020-11-25,,,9.594
2020-11-26,,,9.604
2020-11-27,,,9.508
2020-11-30,,,9.403
2020-12-01,,,9.375
2020-12-02,,,9.157
2020-12-03,,,8.943
2020-12-04,,,8.893
2020-12-07,,,8.991
2020-12-08,,,8.998
2020-12-09,,,8.982
2020-12-10,,,9.015
2020-12-11,,,9.095
2020-12-14,,,9.038
2020-12-15,,,9.052
2020-12-16,,,9.037
2020-12-17,,,9.013
2020-12-18,,,9.05
2020-12-21,,,9.121
2020-12-22,,,9.053
